Men - Shirts, XS, 13-13.5, 30-32, 31.5-32
Men - Shirts, S, 14-14.5, 34-36, 32.5-33
Men - Shirts, M, 15-15.5, 38-40, 33.5-34
Men - Shirts, L, 16-16.5, 42-44, 34.5-35
Men - Shirts, XL, 17-17.5, 46-48, 35.5-36
Men - Shirts, XXL, 18-18.5, 50-52, 36.5-37
Men - Shirts, XXXL, 19-19.5, 54-56, 37.5-38
